,Region,Altersgruppe,Inzidenz,Jahr,Woche,risk_groups,Fallzahl,Inzidenz_cumsum,Time,cumsum
10516,Baden-Württemberg,0-29,0.00964,2024,1,Asthma,951,0.00964,2024-01-01,0.00964
10564,Baden-Württemberg,0-29,0.01069,2024,2,Asthma,1055,0.02033,2024-01-08,0.02033
10612,Baden-Württemberg,0-29,0.02613,2024,3,Asthma,2580,0.04646,2024-01-15,0.04646
10660,Baden-Württemberg,0-29,0.04003,2024,4,Asthma,3952,0.08649000000000001,2024-01-22,0.08649000000000001
10708,Baden-Württemberg,0-29,0.04293,2024,5,Asthma,4239,0.12942,2024-01-29,0.12942
10756,Baden-Württemberg,0-29,0.04022,2024,6,Asthma,3971,0.16964,2024-02-05,0.16964
10804,Baden-Württemberg,0-29,0.02718,2024,7,Asthma,2684,0.19682,2024-02-12,0.19682
10852,Baden-Württemberg,0-29,0.02082,2024,8,Asthma,2055,0.21764,2024-02-19,0.21764
10900,Baden-Württemberg,0-29,0.01149,2024,9,Asthma,1134,0.22913,2024-02-26,0.22913
10948,Baden-Württemberg,0-29,0.00939,2024,10,Asthma,927,0.23852,2024-03-04,0.23852
10996,Baden-Württemberg,0-29,0.0076,2024,11,Asthma,750,0.24612,2024-03-11,0.24612
11044,Baden-Württemberg,0-29,0.00729,2024,12,Asthma,719,0.25341,2024-03-18,0.25341
11092,Baden-Württemberg,0-29,0.00476,2024,13,Asthma,469,0.25817,2024-03-25,0.25817
11140,Baden-Württemberg,0-29,0.0025299999999999997,2024,14,Asthma,250,0.2607,2024-04-01,0.2607
11188,Baden-Württemberg,0-29,0.00117,2024,15,Asthma,115,0.26187,2024-04-08,0.26187
11233,Baden-Württemberg,0-29,0.00117,2024,16,Asthma,115,0.26304,2024-04-15,0.26304
11280,Baden-Württemberg,0-29,0.00507,2024,17,Asthma,500,0.26811,2024-04-22,0.26811
11326,Baden-Württemberg,0-29,0.00266,2024,18,Asthma,262,0.27077,2024-04-29,0.27077
11372,Baden-Württemberg,0-29,0.00111,2024,19,Asthma,109,0.27188,2024-05-06,0.00111
11419,Baden-Württemberg,0-29,0.0005600000000000001,2024,20,Asthma,54,0.27244,2024-05-13,0.00167
11467,Baden-Württemberg,0-29,0.00049,2024,21,Asthma,48,0.27293,2024-05-20,0.00216
11508,Baden-Württemberg,0-29,0.00037,2024,22,Asthma,36,0.2733,2024-05-27,0.00253
11549,Baden-Württemberg,0-29,0.00043,2024,23,Asthma,42,0.27373000000000003,2024-06-03,0.00296
11584,Baden-Württemberg,0-29,0.00019,2024,24,Asthma,18,0.27392,2024-06-10,0.00315
11621,Baden-Württemberg,0-29,0.00043,2024,25,Asthma,42,0.27435,2024-06-17,0.0035800000000000003
11658,Baden-Württemberg,0-29,6e-05,2024,26,Asthma,6,0.27441,2024-06-24,0.00364
11696,Baden-Württemberg,0-29,0.00012,2024,27,Asthma,12,0.27453,2024-07-01,0.0037600000000000003
11765,Baden-Württemberg,0-29,6e-05,2024,29,Asthma,6,0.27459,2024-07-15,0.00382
11837,Baden-Württemberg,0-29,6e-05,2024,31,Asthma,6,0.27465,2024-07-29,0.00388
11862,Baden-Württemberg,0-29,0.00012,2024,32,Asthma,12,0.27477,2024-08-05,0.004
11894,Baden-Württemberg,0-29,6e-05,2024,33,Asthma,6,0.27483,2024-08-12,0.00406
11932,Baden-Württemberg,0-29,0.00019,2024,34,Asthma,18,0.27502,2024-08-19,0.00425
11964,Baden-Württemberg,0-29,0.00012,2024,35,Asthma,12,0.27514,2024-08-26,0.00437
11999,Baden-Württemberg,0-29,6e-05,2024,36,Asthma,6,0.2752,2024-09-02,0.00443
12036,Baden-Württemberg,0-29,0.00019,2024,37,Asthma,18,0.27539,2024-09-09,0.00462
12068,Baden-Württemberg,0-29,0.00019,2024,38,Asthma,18,0.27558,2024-09-16,0.00481
12103,Baden-Württemberg,0-29,0.00031,2024,39,Asthma,30,0.27589,2024-09-23,0.00512
12143,Baden-Württemberg,0-29,0.00043,2024,40,Asthma,42,0.27632,2024-09-30,0.00555
12180,Baden-Württemberg,0-29,0.00049,2024,41,Asthma,48,0.27681,2024-10-07,0.00604
12221,Baden-Württemberg,0-29,0.00025,2024,42,Asthma,24,0.27706000000000003,2024-10-14,0.0062900000000000005
12263,Baden-Württemberg,0-29,0.00025,2024,43,Asthma,24,0.27731,2024-10-21,0.006540000000000001
12306,Baden-Württemberg,0-29,6e-05,2024,44,Asthma,6,0.27737,2024-10-28,0.0066
12345,Baden-Württemberg,0-29,6e-05,2024,45,Asthma,6,0.27743,2024-11-04,0.00666
12388,Baden-Württemberg,0-29,0.00031,2024,46,Asthma,30,0.27774,2024-11-11,0.0069700000000000005
12431,Baden-Württemberg,0-29,0.00031,2024,47,Asthma,30,0.27805,2024-11-18,0.00728
12476,Baden-Württemberg,0-29,0.00093,2024,48,Asthma,91,0.27898,2024-11-25,0.00821
12523,Baden-Württemberg,0-29,0.00148,2024,49,Asthma,146,0.28046,2024-12-02,0.00969
12571,Baden-Württemberg,0-29,0.00309,2024,50,Asthma,305,0.28355,2024-12-09,0.01278
12618,Baden-Württemberg,0-29,0.00568,2024,51,Asthma,561,0.28923,2024-12-16,0.01846
12665,Baden-Württemberg,0-29,0.00457,2024,52,Asthma,451,0.2938,2024-12-23,0.023030000000000002
12713,Baden-Württemberg,0-29,0.00772,2025,1,Asthma,762,0.30152,2024-12-30,0.03075
12761,Baden-Württemberg,0-29,0.01433,2025,2,Asthma,1415,0.31585,2025-01-06,0.04508
12809,Baden-Württemberg,0-29,0.0249,2025,3,Asthma,2458,0.34075,2025-01-13,0.06998
12857,Baden-Württemberg,0-29,0.04559,2025,4,Asthma,4501,0.38634,2025-01-20,0.11557
12905,Baden-Württemberg,0-29,0.06473999999999999,2025,5,Asthma,6392,0.45108,2025-01-27,0.18031
12953,Baden-Württemberg,0-29,0.06511,2025,6,Asthma,6429,0.51619,2025-02-03,0.24542
13001,Baden-Württemberg,0-29,0.0653,2025,7,Asthma,6447,0.58149,2025-02-10,0.31072
13049,Baden-Württemberg,0-29,0.05547,2025,8,Asthma,5477,0.63696,2025-02-17,0.36619
13097,Baden-Württemberg,0-29,0.04238,2025,9,Asthma,4184,0.6793399999999999,2025-02-24,0.40857
13145,Baden-Württemberg,0-29,0.00964,2024,1,COPD,826,0.00964,2024-01-01,0.00964
13193,Baden-Württemberg,0-29,0.01069,2024,2,COPD,916,0.02033,2024-01-08,0.02033
13241,Baden-Württemberg,0-29,0.02613,2024,3,COPD,2241,0.04646,2024-01-15,0.04646
13289,Baden-Württemberg,0-29,0.04003,2024,4,COPD,3434,0.08649000000000001,2024-01-22,0.08649000000000001
13337,Baden-Württemberg,0-29,0.04293,2024,5,COPD,3683,0.12942,2024-01-29,0.12942
13385,Baden-Württemberg,0-29,0.04022,2024,6,COPD,3450,0.16964,2024-02-05,0.16964
13433,Baden-Württemberg,0-29,0.02718,2024,7,COPD,2332,0.19682,2024-02-12,0.19682
13481,Baden-Württemberg,0-29,0.02082,2024,8,COPD,1786,0.21764,2024-02-19,0.21764
13529,Baden-Württemberg,0-29,0.01149,2024,9,COPD,985,0.22913,2024-02-26,0.22913
13577,Baden-Württemberg,0-29,0.00939,2024,10,COPD,805,0.23852,2024-03-04,0.23852
13625,Baden-Württemberg,0-29,0.0076,2024,11,COPD,651,0.24612,2024-03-11,0.24612
13673,Baden-Württemberg,0-29,0.00729,2024,12,COPD,625,0.25341,2024-03-18,0.25341
13721,Baden-Württemberg,0-29,0.00476,2024,13,COPD,408,0.25817,2024-03-25,0.25817
13769,Baden-Württemberg,0-29,0.0025299999999999997,2024,14,COPD,217,0.2607,2024-04-01,0.2607
13817,Baden-Württemberg,0-29,0.00117,2024,15,COPD,100,0.26187,2024-04-08,0.26187
13862,Baden-Württemberg,0-29,0.00117,2024,16,COPD,100,0.26304,2024-04-15,0.26304
13909,Baden-Württemberg,0-29,0.00507,2024,17,COPD,434,0.26811,2024-04-22,0.26811
13955,Baden-Württemberg,0-29,0.00266,2024,18,COPD,227,0.27077,2024-04-29,0.27077
14001,Baden-Württemberg,0-29,0.00111,2024,19,COPD,95,0.27188,2024-05-06,0.00111
14048,Baden-Württemberg,0-29,0.0005600000000000001,2024,20,COPD,47,0.27244,2024-05-13,0.00167
14096,Baden-Württemberg,0-29,0.00049,2024,21,COPD,42,0.27293,2024-05-20,0.00216
14137,Baden-Württemberg,0-29,0.00037,2024,22,COPD,31,0.2733,2024-05-27,0.00253
14178,Baden-Württemberg,0-29,0.00043,2024,23,COPD,37,0.27373000000000003,2024-06-03,0.00296
14213,Baden-Württemberg,0-29,0.00019,2024,24,COPD,15,0.27392,2024-06-10,0.00315
14250,Baden-Württemberg,0-29,0.00043,2024,25,COPD,37,0.27435,2024-06-17,0.0035800000000000003
14287,Baden-Württemberg,0-29,6e-05,2024,26,COPD,5,0.27441,2024-06-24,0.00364
14325,Baden-Württemberg,0-29,0.00012,2024,27,COPD,10,0.27453,2024-07-01,0.0037600000000000003
14394,Baden-Württemberg,0-29,6e-05,2024,29,COPD,5,0.27459,2024-07-15,0.00382
14466,Baden-Württemberg,0-29,6e-05,2024,31,COPD,5,0.27465,2024-07-29,0.00388
14491,Baden-Württemberg,0-29,0.00012,2024,32,COPD,10,0.27477,2024-08-05,0.004
14523,Baden-Württemberg,0-29,6e-05,2024,33,COPD,5,0.27483,2024-08-12,0.00406
14561,Baden-Württemberg,0-29,0.00019,2024,34,COPD,15,0.27502,2024-08-19,0.00425
14593,Baden-Württemberg,0-29,0.00012,2024,35,COPD,10,0.27514,2024-08-26,0.00437
14628,Baden-Württemberg,0-29,6e-05,2024,36,COPD,5,0.2752,2024-09-02,0.00443
14665,Baden-Württemberg,0-29,0.00019,2024,37,COPD,15,0.27539,2024-09-09,0.00462
14697,Baden-Württemberg,0-29,0.00019,2024,38,COPD,15,0.27558,2024-09-16,0.00481
14732,Baden-Württemberg,0-29,0.00031,2024,39,COPD,26,0.27589,2024-09-23,0.00512
14772,Baden-Württemberg,0-29,0.00043,2024,40,COPD,37,0.27632,2024-09-30,0.00555
14809,Baden-Württemberg,0-29,0.00049,2024,41,COPD,42,0.27681,2024-10-07,0.00604
14850,Baden-Württemberg,0-29,0.00025,2024,42,COPD,21,0.27706000000000003,2024-10-14,0.0062900000000000005
14892,Baden-Württemberg,0-29,0.00025,2024,43,COPD,21,0.27731,2024-10-21,0.006540000000000001
14935,Baden-Württemberg,0-29,6e-05,2024,44,COPD,5,0.27737,2024-10-28,0.0066
14974,Baden-Württemberg,0-29,6e-05,2024,45,COPD,5,0.27743,2024-11-04,0.00666
15017,Baden-Württemberg,0-29,0.00031,2024,46,COPD,26,0.27774,2024-11-11,0.0069700000000000005
15060,Baden-Württemberg,0-29,0.00031,2024,47,COPD,26,0.27805,2024-11-18,0.00728
15105,Baden-Württemberg,0-29,0.00093,2024,48,COPD,79,0.27898,2024-11-25,0.00821
15152,Baden-Württemberg,0-29,0.00148,2024,49,COPD,127,0.28046,2024-12-02,0.00969
15200,Baden-Württemberg,0-29,0.00309,2024,50,COPD,265,0.28355,2024-12-09,0.01278
15247,Baden-Württemberg,0-29,0.00568,2024,51,COPD,487,0.28923,2024-12-16,0.01846
15294,Baden-Württemberg,0-29,0.00457,2024,52,COPD,392,0.2938,2024-12-23,0.023030000000000002
15342,Baden-Württemberg,0-29,0.00772,2025,1,COPD,662,0.30152,2024-12-30,0.03075
15390,Baden-Württemberg,0-29,0.01433,2025,2,COPD,1229,0.31585,2025-01-06,0.04508
15438,Baden-Württemberg,0-29,0.0249,2025,3,COPD,2135,0.34075,2025-01-13,0.06998
15486,Baden-Württemberg,0-29,0.04559,2025,4,COPD,3911,0.38634,2025-01-20,0.11557
15534,Baden-Württemberg,0-29,0.06473999999999999,2025,5,COPD,5554,0.45108,2025-01-27,0.18031
15582,Baden-Württemberg,0-29,0.06511,2025,6,COPD,5586,0.51619,2025-02-03,0.24542
15630,Baden-Württemberg,0-29,0.0653,2025,7,COPD,5602,0.58149,2025-02-10,0.31072
15678,Baden-Württemberg,0-29,0.05547,2025,8,COPD,4759,0.63696,2025-02-17,0.36619
15726,Baden-Württemberg,0-29,0.04238,2025,9,COPD,3635,0.6793399999999999,2025-02-24,0.40857
2629,Baden-Württemberg,0-29,0.00964,2024,1,Chronische Herzkreislauf,1185,0.00964,2024-01-01,0.00964
2677,Baden-Württemberg,0-29,0.01069,2024,2,Chronische Herzkreislauf,1314,0.02033,2024-01-08,0.02033
2725,Baden-Württemberg,0-29,0.02613,2024,3,Chronische Herzkreislauf,3214,0.04646,2024-01-15,0.04646
2773,Baden-Württemberg,0-29,0.04003,2024,4,Chronische Herzkreislauf,4924,0.08649000000000001,2024-01-22,0.08649000000000001
2821,Baden-Württemberg,0-29,0.04293,2024,5,Chronische Herzkreislauf,5282,0.12942,2024-01-29,0.12942
2869,Baden-Württemberg,0-29,0.04022,2024,6,Chronische Herzkreislauf,4947,0.16964,2024-02-05,0.16964
2917,Baden-Württemberg,0-29,0.02718,2024,7,Chronische Herzkreislauf,3344,0.19682,2024-02-12,0.19682
2965,Baden-Württemberg,0-29,0.02082,2024,8,Chronische Herzkreislauf,2561,0.21764,2024-02-19,0.21764
3013,Baden-Württemberg,0-29,0.01149,2024,9,Chronische Herzkreislauf,1413,0.22913,2024-02-26,0.22913
3061,Baden-Württemberg,0-29,0.00939,2024,10,Chronische Herzkreislauf,1155,0.23852,2024-03-04,0.23852
3109,Baden-Württemberg,0-29,0.0076,2024,11,Chronische Herzkreislauf,934,0.24612,2024-03-11,0.24612
3157,Baden-Württemberg,0-29,0.00729,2024,12,Chronische Herzkreislauf,896,0.25341,2024-03-18,0.25341
3205,Baden-Württemberg,0-29,0.00476,2024,13,Chronische Herzkreislauf,585,0.25817,2024-03-25,0.25817
3253,Baden-Württemberg,0-29,0.0025299999999999997,2024,14,Chronische Herzkreislauf,311,0.2607,2024-04-01,0.2607
3301,Baden-Württemberg,0-29,0.00117,2024,15,Chronische Herzkreislauf,144,0.26187,2024-04-08,0.26187
3346,Baden-Württemberg,0-29,0.00117,2024,16,Chronische Herzkreislauf,144,0.26304,2024-04-15,0.26304
3393,Baden-Württemberg,0-29,0.00507,2024,17,Chronische Herzkreislauf,623,0.26811,2024-04-22,0.26811
3439,Baden-Württemberg,0-29,0.00266,2024,18,Chronische Herzkreislauf,326,0.27077,2024-04-29,0.27077
3485,Baden-Württemberg,0-29,0.00111,2024,19,Chronische Herzkreislauf,136,0.27188,2024-05-06,0.00111
3532,Baden-Württemberg,0-29,0.0005600000000000001,2024,20,Chronische Herzkreislauf,68,0.27244,2024-05-13,0.00167
3580,Baden-Württemberg,0-29,0.00049,2024,21,Chronische Herzkreislauf,60,0.27293,2024-05-20,0.00216
3621,Baden-Württemberg,0-29,0.00037,2024,22,Chronische Herzkreislauf,45,0.2733,2024-05-27,0.00253
3662,Baden-Württemberg,0-29,0.00043,2024,23,Chronische Herzkreislauf,53,0.27373000000000003,2024-06-03,0.00296
3697,Baden-Württemberg,0-29,0.00019,2024,24,Chronische Herzkreislauf,22,0.27392,2024-06-10,0.00315
3734,Baden-Württemberg,0-29,0.00043,2024,25,Chronische Herzkreislauf,53,0.27435,2024-06-17,0.0035800000000000003
3771,Baden-Württemberg,0-29,6e-05,2024,26,Chronische Herzkreislauf,7,0.27441,2024-06-24,0.00364
3809,Baden-Württemberg,0-29,0.00012,2024,27,Chronische Herzkreislauf,15,0.27453,2024-07-01,0.0037600000000000003
3878,Baden-Württemberg,0-29,6e-05,2024,29,Chronische Herzkreislauf,7,0.27459,2024-07-15,0.00382
3950,Baden-Württemberg,0-29,6e-05,2024,31,Chronische Herzkreislauf,7,0.27465,2024-07-29,0.00388
3975,Baden-Württemberg,0-29,0.00012,2024,32,Chronische Herzkreislauf,15,0.27477,2024-08-05,0.004
4007,Baden-Württemberg,0-29,6e-05,2024,33,Chronische Herzkreislauf,7,0.27483,2024-08-12,0.00406
4045,Baden-Württemberg,0-29,0.00019,2024,34,Chronische Herzkreislauf,22,0.27502,2024-08-19,0.00425
4077,Baden-Württemberg,0-29,0.00012,2024,35,Chronische Herzkreislauf,15,0.27514,2024-08-26,0.00437
4112,Baden-Württemberg,0-29,6e-05,2024,36,Chronische Herzkreislauf,7,0.2752,2024-09-02,0.00443
4149,Baden-Württemberg,0-29,0.00019,2024,37,Chronische Herzkreislauf,22,0.27539,2024-09-09,0.00462
4181,Baden-Württemberg,0-29,0.00019,2024,38,Chronische Herzkreislauf,22,0.27558,2024-09-16,0.00481
4216,Baden-Württemberg,0-29,0.00031,2024,39,Chronische Herzkreislauf,38,0.27589,2024-09-23,0.00512
4256,Baden-Württemberg,0-29,0.00043,2024,40,Chronische Herzkreislauf,53,0.27632,2024-09-30,0.00555
4293,Baden-Württemberg,0-29,0.00049,2024,41,Chronische Herzkreislauf,60,0.27681,2024-10-07,0.00604
4334,Baden-Württemberg,0-29,0.00025,2024,42,Chronische Herzkreislauf,30,0.27706000000000003,2024-10-14,0.0062900000000000005
4376,Baden-Württemberg,0-29,0.00025,2024,43,Chronische Herzkreislauf,30,0.27731,2024-10-21,0.006540000000000001
4419,Baden-Württemberg,0-29,6e-05,2024,44,Chronische Herzkreislauf,7,0.27737,2024-10-28,0.0066
4458,Baden-Württemberg,0-29,6e-05,2024,45,Chronische Herzkreislauf,7,0.27743,2024-11-04,0.00666
4501,Baden-Württemberg,0-29,0.00031,2024,46,Chronische Herzkreislauf,38,0.27774,2024-11-11,0.0069700000000000005
4544,Baden-Württemberg,0-29,0.00031,2024,47,Chronische Herzkreislauf,38,0.27805,2024-11-18,0.00728
4589,Baden-Württemberg,0-29,0.00093,2024,48,Chronische Herzkreislauf,114,0.27898,2024-11-25,0.00821
4636,Baden-Württemberg,0-29,0.00148,2024,49,Chronische Herzkreislauf,182,0.28046,2024-12-02,0.00969
4684,Baden-Württemberg,0-29,0.00309,2024,50,Chronische Herzkreislauf,380,0.28355,2024-12-09,0.01278
4731,Baden-Württemberg,0-29,0.00568,2024,51,Chronische Herzkreislauf,699,0.28923,2024-12-16,0.01846
4778,Baden-Württemberg,0-29,0.00457,2024,52,Chronische Herzkreislauf,562,0.2938,2024-12-23,0.023030000000000002
4826,Baden-Württemberg,0-29,0.00772,2025,1,Chronische Herzkreislauf,950,0.30152,2024-12-30,0.03075
4874,Baden-Württemberg,0-29,0.01433,2025,2,Chronische Herzkreislauf,1763,0.31585,2025-01-06,0.04508
4922,Baden-Württemberg,0-29,0.0249,2025,3,Chronische Herzkreislauf,3062,0.34075,2025-01-13,0.06998
4970,Baden-Württemberg,0-29,0.04559,2025,4,Chronische Herzkreislauf,5608,0.38634,2025-01-20,0.11557
5018,Baden-Württemberg,0-29,0.06473999999999999,2025,5,Chronische Herzkreislauf,7964,0.45108,2025-01-27,0.18031
5066,Baden-Württemberg,0-29,0.06511,2025,6,Chronische Herzkreislauf,8010,0.51619,2025-02-03,0.24542
5114,Baden-Württemberg,0-29,0.0653,2025,7,Chronische Herzkreislauf,8033,0.58149,2025-02-10,0.31072
5162,Baden-Württemberg,0-29,0.05547,2025,8,Chronische Herzkreislauf,6824,0.63696,2025-02-17,0.36619
5210,Baden-Württemberg,0-29,0.04238,2025,9,Chronische Herzkreislauf,5213,0.6793399999999999,2025-02-24,0.40857
0,Baden-Württemberg,0-29,0.00964,2024,1,Chronische Leberkrankheit,967,0.00964,2024-01-01,0.00964
48,Baden-Württemberg,0-29,0.01069,2024,2,Chronische Leberkrankheit,1072,0.02033,2024-01-08,0.02033
96,Baden-Württemberg,0-29,0.02613,2024,3,Chronische Leberkrankheit,2622,0.04646,2024-01-15,0.04646
144,Baden-Württemberg,0-29,0.04003,2024,4,Chronische Leberkrankheit,4017,0.08649000000000001,2024-01-22,0.08649000000000001
192,Baden-Württemberg,0-29,0.04293,2024,5,Chronische Leberkrankheit,4309,0.12942,2024-01-29,0.12942
240,Baden-Württemberg,0-29,0.04022,2024,6,Chronische Leberkrankheit,4036,0.16964,2024-02-05,0.16964
288,Baden-Württemberg,0-29,0.02718,2024,7,Chronische Leberkrankheit,2728,0.19682,2024-02-12,0.19682
336,Baden-Württemberg,0-29,0.02082,2024,8,Chronische Leberkrankheit,2089,0.21764,2024-02-19,0.21764
384,Baden-Württemberg,0-29,0.01149,2024,9,Chronische Leberkrankheit,1153,0.22913,2024-02-26,0.22913
432,Baden-Württemberg,0-29,0.00939,2024,10,Chronische Leberkrankheit,942,0.23852,2024-03-04,0.23852
480,Baden-Württemberg,0-29,0.0076,2024,11,Chronische Leberkrankheit,762,0.24612,2024-03-11,0.24612
528,Baden-Württemberg,0-29,0.00729,2024,12,Chronische Leberkrankheit,731,0.25341,2024-03-18,0.25341
576,Baden-Württemberg,0-29,0.00476,2024,13,Chronische Leberkrankheit,477,0.25817,2024-03-25,0.25817
624,Baden-Württemberg,0-29,0.0025299999999999997,2024,14,Chronische Leberkrankheit,254,0.2607,2024-04-01,0.2607
672,Baden-Württemberg,0-29,0.00117,2024,15,Chronische Leberkrankheit,117,0.26187,2024-04-08,0.26187
717,Baden-Württemberg,0-29,0.00117,2024,16,Chronische Leberkrankheit,117,0.26304,2024-04-15,0.26304
764,Baden-Württemberg,0-29,0.00507,2024,17,Chronische Leberkrankheit,508,0.26811,2024-04-22,0.26811
810,Baden-Württemberg,0-29,0.00266,2024,18,Chronische Leberkrankheit,266,0.27077,2024-04-29,0.27077
856,Baden-Württemberg,0-29,0.00111,2024,19,Chronische Leberkrankheit,111,0.27188,2024-05-06,0.00111
903,Baden-Württemberg,0-29,0.0005600000000000001,2024,20,Chronische Leberkrankheit,55,0.27244,2024-05-13,0.00167
951,Baden-Württemberg,0-29,0.00049,2024,21,Chronische Leberkrankheit,49,0.27293,2024-05-20,0.00216
992,Baden-Württemberg,0-29,0.00037,2024,22,Chronische Leberkrankheit,37,0.2733,2024-05-27,0.00253
1033,Baden-Württemberg,0-29,0.00043,2024,23,Chronische Leberkrankheit,43,0.27373000000000003,2024-06-03,0.00296
1068,Baden-Württemberg,0-29,0.00019,2024,24,Chronische Leberkrankheit,18,0.27392,2024-06-10,0.00315
1105,Baden-Württemberg,0-29,0.00043,2024,25,Chronische Leberkrankheit,43,0.27435,2024-06-17,0.0035800000000000003
1142,Baden-Württemberg,0-29,6e-05,2024,26,Chronische Leberkrankheit,6,0.27441,2024-06-24,0.00364
1180,Baden-Württemberg,0-29,0.00012,2024,27,Chronische Leberkrankheit,12,0.27453,2024-07-01,0.0037600000000000003
1249,Baden-Württemberg,0-29,6e-05,2024,29,Chronische Leberkrankheit,6,0.27459,2024-07-15,0.00382
1321,Baden-Württemberg,0-29,6e-05,2024,31,Chronische Leberkrankheit,6,0.27465,2024-07-29,0.00388
1346,Baden-Württemberg,0-29,0.00012,2024,32,Chronische Leberkrankheit,12,0.27477,2024-08-05,0.004
1378,Baden-Württemberg,0-29,6e-05,2024,33,Chronische Leberkrankheit,6,0.27483,2024-08-12,0.00406
1416,Baden-Württemberg,0-29,0.00019,2024,34,Chronische Leberkrankheit,18,0.27502,2024-08-19,0.00425
1448,Baden-Württemberg,0-29,0.00012,2024,35,Chronische Leberkrankheit,12,0.27514,2024-08-26,0.00437
1483,Baden-Württemberg,0-29,6e-05,2024,36,Chronische Leberkrankheit,6,0.2752,2024-09-02,0.00443
1520,Baden-Württemberg,0-29,0.00019,2024,37,Chronische Leberkrankheit,18,0.27539,2024-09-09,0.00462
1552,Baden-Württemberg,0-29,0.00019,2024,38,Chronische Leberkrankheit,18,0.27558,2024-09-16,0.00481
1587,Baden-Württemberg,0-29,0.00031,2024,39,Chronische Leberkrankheit,31,0.27589,2024-09-23,0.00512
1627,Baden-Württemberg,0-29,0.00043,2024,40,Chronische Leberkrankheit,43,0.27632,2024-09-30,0.00555
1664,Baden-Württemberg,0-29,0.00049,2024,41,Chronische Leberkrankheit,49,0.27681,2024-10-07,0.00604
1705,Baden-Württemberg,0-29,0.00025,2024,42,Chronische Leberkrankheit,24,0.27706000000000003,2024-10-14,0.0062900000000000005
1747,Baden-Württemberg,0-29,0.00025,2024,43,Chronische Leberkrankheit,24,0.27731,2024-10-21,0.006540000000000001
1790,Baden-Württemberg,0-29,6e-05,2024,44,Chronische Leberkrankheit,6,0.27737,2024-10-28,0.0066
1829,Baden-Württemberg,0-29,6e-05,2024,45,Chronische Leberkrankheit,6,0.27743,2024-11-04,0.00666
1872,Baden-Württemberg,0-29,0.00031,2024,46,Chronische Leberkrankheit,31,0.27774,2024-11-11,0.0069700000000000005
1915,Baden-Württemberg,0-29,0.00031,2024,47,Chronische Leberkrankheit,31,0.27805,2024-11-18,0.00728
1960,Baden-Württemberg,0-29,0.00093,2024,48,Chronische Leberkrankheit,93,0.27898,2024-11-25,0.00821
2007,Baden-Württemberg,0-29,0.00148,2024,49,Chronische Leberkrankheit,148,0.28046,2024-12-02,0.00969
2055,Baden-Württemberg,0-29,0.00309,2024,50,Chronische Leberkrankheit,310,0.28355,2024-12-09,0.01278
2102,Baden-Württemberg,0-29,0.00568,2024,51,Chronische Leberkrankheit,570,0.28923,2024-12-16,0.01846
2149,Baden-Württemberg,0-29,0.00457,2024,52,Chronische Leberkrankheit,458,0.2938,2024-12-23,0.023030000000000002
2197,Baden-Württemberg,0-29,0.00772,2025,1,Chronische Leberkrankheit,775,0.30152,2024-12-30,0.03075
2245,Baden-Württemberg,0-29,0.01433,2025,2,Chronische Leberkrankheit,1438,0.31585,2025-01-06,0.04508
2293,Baden-Württemberg,0-29,0.0249,2025,3,Chronische Leberkrankheit,2498,0.34075,2025-01-13,0.06998
2341,Baden-Württemberg,0-29,0.04559,2025,4,Chronische Leberkrankheit,4575,0.38634,2025-01-20,0.11557
2389,Baden-Württemberg,0-29,0.06473999999999999,2025,5,Chronische Leberkrankheit,6497,0.45108,2025-01-27,0.18031
2437,Baden-Württemberg,0-29,0.06511,2025,6,Chronische Leberkrankheit,6534,0.51619,2025-02-03,0.24542
2485,Baden-Württemberg,0-29,0.0653,2025,7,Chronische Leberkrankheit,6553,0.58149,2025-02-10,0.31072
2533,Baden-Württemberg,0-29,0.05547,2025,8,Chronische Leberkrankheit,5567,0.63696,2025-02-17,0.36619
2581,Baden-Württemberg,0-29,0.04238,2025,9,Chronische Leberkrankheit,4253,0.6793399999999999,2025-02-24,0.40857
5258,Baden-Württemberg,0-29,0.00964,2024,1,Diabetes T1,1123,0.00964,2024-01-01,0.00964
5306,Baden-Württemberg,0-29,0.01069,2024,2,Diabetes T1,1245,0.02033,2024-01-08,0.02033
5354,Baden-Württemberg,0-29,0.02613,2024,3,Diabetes T1,3045,0.04646,2024-01-15,0.04646
5402,Baden-Württemberg,0-29,0.04003,2024,4,Diabetes T1,4665,0.08649000000000001,2024-01-22,0.08649000000000001
5450,Baden-Württemberg,0-29,0.04293,2024,5,Diabetes T1,5004,0.12942,2024-01-29,0.12942
5498,Baden-Württemberg,0-29,0.04022,2024,6,Diabetes T1,4687,0.16964,2024-02-05,0.16964
5546,Baden-Württemberg,0-29,0.02718,2024,7,Diabetes T1,3168,0.19682,2024-02-12,0.19682
5594,Baden-Württemberg,0-29,0.02082,2024,8,Diabetes T1,2426,0.21764,2024-02-19,0.21764
5642,Baden-Württemberg,0-29,0.01149,2024,9,Diabetes T1,1339,0.22913,2024-02-26,0.22913
5690,Baden-Württemberg,0-29,0.00939,2024,10,Diabetes T1,1094,0.23852,2024-03-04,0.23852
5738,Baden-Württemberg,0-29,0.0076,2024,11,Diabetes T1,885,0.24612,2024-03-11,0.24612
5786,Baden-Württemberg,0-29,0.00729,2024,12,Diabetes T1,849,0.25341,2024-03-18,0.25341
5834,Baden-Württemberg,0-29,0.00476,2024,13,Diabetes T1,554,0.25817,2024-03-25,0.25817
